"symbol","company_name","industry","window_start","open","high","low","close","volume","trade_count","vwap","pe_ttm","eps_ttm","revenue_growth_ttm_yoy","net_profit_margin_ttm","roe_ttm","beta"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:38:00.000","264.01","264.01","264.01","264.01","400.0","4","264.01","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:38:00.000","483.15","483.18","483.15","483.18","92.0","2","483.1663","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
"AAPL","Apple Inc","Technology","2026-08-19 17:37:00.000","315.42","315.49","315.39","315.49","5664.0","66","315.4453","34.3608","8.723299999999998","14.24","27.62","137.17999999999998","1.0833839"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:37:00.000","263.99","264.0","263.97","263.99","1000.0","10","263.988","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:37:00.000","483.12","483.14","483.09","483.09","380.0","7","483.1168","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
"NVDA","NVIDIA Corp","Semiconductors","2026-08-19 17:37:00.000","219.035","219.035","218.95","218.95","685.0","6","218.9985","33.9758","6.529999999999999","70.68","62.97","111.66","2.2440794"
"TSLA","Tesla Inc","Automobiles","2026-08-19 17:37:00.000","346.53","346.57","346.53","346.57","345.0","4","346.5439","352.782","1.0766","11.75","3.67","4.569999999999999","1.9047455"
"AAPL","Apple Inc","Technology","2026-08-19 17:36:00.000","315.24","315.44","315.22","315.44","2390.0","32","315.3446","34.3608","8.723299999999998","14.24","27.62","137.17999999999998","1.0833839"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:36:00.000","264.07","264.1","263.89","263.99","6984.0","46","263.9577","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:36:00.000","483.07","483.09","482.95","483.09","649.0","9","483.0087","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
