"symbol","company_name","industry","window_start","close","vwap","volume","current_price","day_open","day_high","day_low","previous_close","percent_change","pe_ttm","eps_ttm","revenue_growth_ttm_yoy","net_profit_margin_ttm","roe_ttm","beta"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:38:00.000","264.01","264.01","400.0","265.84","260.845","266.4","258.58","259.45","2.4629","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:38:00.000","483.18","483.1663","92.0","484.31","480.065","489.3","479.36","481.63","0.5564","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
"AAPL","Apple Inc","Technology","2026-08-19 17:37:00.000","315.49","315.4453","5664.0","316.83","310.14","319.2799","309.6","310.03","2.1933","34.3608","8.723299999999998","14.24","27.62","137.17999999999998","1.0833839"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:37:00.000","263.99","263.988","1000.0","265.84","260.845","266.4","258.58","259.45","2.4629","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:37:00.000","483.09","483.1168","380.0","484.31","480.065","489.3","479.36","481.63","0.5564","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
"NVDA","NVIDIA Corp","Semiconductors","2026-08-19 17:37:00.000","218.95","218.9985","685.0","217.56","221.67","222.87","216.76","219.74","-0.9921","33.9758","6.529999999999999","70.68","62.97","111.66","2.2440794"
"TSLA","Tesla Inc","Automobiles","2026-08-19 17:37:00.000","346.57","346.5439","345.0","351.12","338.89","351.62","335.7","336.87","4.2301","352.782","1.0766","11.75","3.67","4.569999999999999","1.9047455"
"AAPL","Apple Inc","Technology","2026-08-19 17:36:00.000","315.44","315.3446","2390.0","316.83","310.14","319.2799","309.6","310.03","2.1933","34.3608","8.723299999999998","14.24","27.62","137.17999999999998","1.0833839"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:36:00.000","263.99","263.9577","6984.0","265.84","260.845","266.4","258.58","259.45","2.4629","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:36:00.000","483.09","483.0087","649.0","484.31","480.065","489.3","479.36","481.63","0.5564","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
"NVDA","NVIDIA Corp","Semiconductors","2026-08-19 17:36:00.000","219.12","219.0301","4769.0","217.56","221.67","222.87","216.76","219.74","-0.9921","33.9758","6.529999999999999","70.68","62.97","111.66","2.2440794"
"TSLA","Tesla Inc","Automobiles","2026-08-19 17:36:00.000","346.51","346.4766","1269.0","351.12","338.89","351.62","335.7","336.87","4.2301","352.782","1.0766","11.75","3.67","4.569999999999999","1.9047455"
"AAPL","Apple Inc","Technology","2026-08-19 17:35:00.000","315.25","315.2576","9120.0","316.83","310.14","319.2799","309.6","310.03","2.1933","34.3608","8.723299999999998","14.24","27.62","137.17999999999998","1.0833839"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:35:00.000","264.07","264.069","2538.0","265.84","260.845","266.4","258.58","259.45","2.4629","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:35:00.000","482.98","483.1109","537.0","484.31","480.065","489.3","479.36","481.63","0.5564","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
"NVDA","NVIDIA Corp","Semiconductors","2026-08-19 17:35:00.000","219.03","219.031","3821.0","217.56","221.67","222.87","216.76","219.74","-0.9921","33.9758","6.529999999999999","70.68","62.97","111.66","2.2440794"
"TSLA","Tesla Inc","Automobiles","2026-08-19 17:35:00.000","346.57","346.3595","2039.0","351.12","338.89","351.62","335.7","336.87","4.2301","352.782","1.0766","11.75","3.67","4.569999999999999","1.9047455"
"AAPL","Apple Inc","Technology","2026-08-19 17:34:00.000","315.275","315.283","3950.0","316.83","310.14","319.2799","309.6","310.03","2.1933","34.3608","8.723299999999998","14.24","27.62","137.17999999999998","1.0833839"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:34:00.000","264.03","264.0501","3232.0","265.84","260.845","266.4","258.58","259.45","2.4629","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:34:00.000","483.18","483.3455","290.0","484.31","480.065","489.3","479.36","481.63","0.5564","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
"NVDA","NVIDIA Corp","Semiconductors","2026-08-19 17:34:00.000","219.02","219.0273","1100.0","217.56","221.67","222.87","216.76","219.74","-0.9921","33.9758","6.529999999999999","70.68","62.97","111.66","2.2440794"
"TSLA","Tesla Inc","Automobiles","2026-08-19 17:34:00.000","346.41","346.4144","906.0","351.12","338.89","351.62","335.7","336.87","4.2301","352.782","1.0766","11.75","3.67","4.569999999999999","1.9047455"
"AAPL","Apple Inc","Technology","2026-08-19 17:33:00.000","315.19","315.2038","3440.0","316.83","310.14","319.2799","309.6","310.03","2.1933","34.3608","8.723299999999998","14.24","27.62","137.17999999999998","1.0833839"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:33:00.000","264.18","264.2005","2200.0","265.84","260.845","266.4","258.58","259.45","2.4629","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:33:00.000","483.15","483.0181","2597.0","484.31","480.065","489.3","479.36","481.63","0.5564","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
"NVDA","NVIDIA Corp","Semiconductors","2026-08-19 17:33:00.000","219.05","219.0457","5250.0","217.56","221.67","222.87","216.76","219.74","-0.9921","33.9758","6.529999999999999","70.68","62.97","111.66","2.2440794"
"TSLA","Tesla Inc","Automobiles","2026-08-19 17:33:00.000","346.36","346.2398","3977.0","351.12","338.89","351.62","335.7","336.87","4.2301","352.782","1.0766","11.75","3.67","4.569999999999999","1.9047455"
"AAPL","Apple Inc","Technology","2026-08-19 17:32:00.000","315.26","315.2872","9966.0","316.83","310.14","319.2799","309.6","310.03","2.1933","34.3608","8.723299999999998","14.24","27.62","137.17999999999998","1.0833839"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:32:00.000","264.34","264.5622","4658.0","265.84","260.845","266.4","258.58","259.45","2.4629","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:32:00.000","483.2","483.3743","2557.0","484.31","480.065","489.3","479.36","481.63","0.5564","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
"NVDA","NVIDIA Corp","Semiconductors","2026-08-19 17:32:00.000","218.93","218.9153","1500.0","217.56","221.67","222.87","216.76","219.74","-0.9921","33.9758","6.529999999999999","70.68","62.97","111.66","2.2440794"
"TSLA","Tesla Inc","Automobiles","2026-08-19 17:32:00.000","346.17","346.2659","1736.0","351.12","338.89","351.62","335.7","336.87","4.2301","352.782","1.0766","11.75","3.67","4.569999999999999","1.9047455"
"AAPL","Apple Inc","Technology","2026-08-19 17:31:00.000","315.235","315.1795","19018.0","316.83","310.14","319.2799","309.6","310.03","2.1933","34.3608","8.723299999999998","14.24","27.62","137.17999999999998","1.0833839"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:31:00.000","264.72","264.721","1000.0","265.84","260.845","266.4","258.58","259.45","2.4629","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:31:00.000","483.4","483.452","1415.0","484.31","480.065","489.3","479.36","481.63","0.5564","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
"NVDA","NVIDIA Corp","Semiconductors","2026-08-19 17:31:00.000","219.0","218.9446","1200.0","217.56","221.67","222.87","216.76","219.74","-0.9921","33.9758","6.529999999999999","70.68","62.97","111.66","2.2440794"
"TSLA","Tesla Inc","Automobiles","2026-08-19 17:31:00.000","346.44","346.6148","2119.0","351.12","338.89","351.62","335.7","336.87","4.2301","352.782","1.0766","11.75","3.67","4.569999999999999","1.9047455"
"AAPL","Apple Inc","Technology","2026-08-19 17:30:00.000","315.11","315.0225","3460.0","316.83","310.14","319.2799","309.6","310.03","2.1933","34.3608","8.723299999999998","14.24","27.62","137.17999999999998","1.0833839"
"AMZN","Amazon.com Inc","Retail","2026-08-19 17:30:00.000","264.735","264.7359","3206.0","265.84","260.845","266.4","258.58","259.45","2.4629","21.1395","12.4325","15.77","17.44","30.5","1.4662229"
"MSFT","Microsoft Corp","Technology","2026-08-19 17:30:00.000","483.8","483.6254","891.0","484.31","480.065","489.3","479.36","481.63","0.5564","27.6621","17.9466","17.79","40.31","33.22","1.1054888"
